,Unnamed: 0,measured,predicted,index
0,0,2996.0,2115.6040511289507,1
1,1,3343.0,3233.367941959381,2
2,2,1446.0,1900.2647341180732,3
3,3,333.0,778.8014486601264,4
4,4,126.0,1087.4118184858671,5
5,5,3322.0,3553.3655595734217,6
6,6,4281.7,3819.2590750526,7
7,7,4452.4,5742.739054063462,8
8,8,821.0,-582.7943296723868,9
9,9,3810.0,3755.512180482944,10
10,10,3858.0,2277.04982016278,11
11,11,4019.0,3719.68305041459,12
12,12,4135.0,4393.630441841242,13
13,13,3973.0,5038.178673735731,14
14,14,3910.0,3317.9335848165315,15
15,15,4145.0,4630.52762888311,16
16,16,3104.0,2765.2755207987752,17
17,17,4139.0,4008.8348674648378,18
18,18,4615.0,6046.5674875028835,19
19,19,4240.0,4808.024711110137,20
20,20,5222.0,6268.892866902738,21
21,21,4150.0,4457.080700022761,22
22,22,4956.0,4703.1223565302125,23
23,23,3932.0,5219.9426130015345,24
24,24,3984.0,5107.404367917978,25
25,25,2845.0,2330.1259281725725,26
26,26,1740.0,1824.5918524571352,27
27,27,4971.0,3388.8431793540453,28
28,28,4910.0,6565.68889205762,29
29,29,5244.0,4950.866818937038,30
30,30,1859.0,3049.077802135126,31
